Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
7.226107226107226,70,Medium,High,Yes,49,66,Medium,Yes,0.2331002331002331,High,Medium,Public,Negative,3,No,College,Near,Male,69
4.662004662004662,69,Medium,Medium,Yes,56,96,Medium,Yes,0.4662004662004662,Medium,High,Public,Positive,3,No,High School,Near,Male,67
3.2634032634032635,60,High,Medium,No,35,50,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Neutral,3,No,College,Near,Female,61
5.827505827505828,65,High,Medium,No,35,90,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,68
3.0303030303030303,72,Low,Medium,No,42,93,Low,Yes,0.2331002331002331,Low,Medium,Public,Negative,3,No,High School,Near,Male,61
4.895104895104895,65,Medium,Low,Yes,49,91,Low,Yes,0.4662004662004662,Medium,High,Public,Positive,3,No,High School,Far,Female,64
1.8648018648018647,99,Medium,Medium,No,63,54,Low,Yes,0.4662004662004662,Low,Medium,Public,Neutral,5,No,Postgraduate,Near,Female,67
2.797202797202797,72,Low,Medium,Yes,56,84,Medium,Yes,0.2331002331002331,Low,Medium,Public,Positive,5,No,High School,Near,Female,63
4.895104895104895,65,Low,Medium,Yes,42,98,Low,Yes,0.2331002331002331,Medium,High,Public,Negative,4,No,High School,Near,Male,64
5.594405594405594,68,High,Medium,No,56,56,Low,Yes,0.6993006993006993,High,High,Public,Neutral,1,No,College,Near,Male,67
4.895104895104895,84,Medium,Medium,Yes,42,52,Low,Yes,0.2331002331002331,Medium,High,Public,Neutral,2,Yes,College,Far,Female,65
4.428904428904429,63,Low,High,No,49,94,Medium,Yes,0.2331002331002331,Medium,Medium,Private,Positive,3,No,High School,Moderate,Male,64
4.195804195804196,94,Medium,High,Yes,49,82,Medium,Yes,0.6993006993006993,Medium,Medium,Private,Negative,2,Yes,College,Near,Male,70
2.564102564102564,98,Medium,Medium,Yes,63,82,Low,Yes,0.2331002331002331,Medium,Medium,Private,Positive,3,No,Postgraduate,Far,Male,68
3.7296037296037294,70,Medium,Medium,Yes,56,98,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65
3.9627039627039626,78,Medium,Medium,Yes,42,88,Medium,Yes,0.2331002331002331,Medium,High,Private,Positive,3,No,College,Near,Female,68
6.0606060606060606,61,Medium,Low,Yes,42,70,Medium,Yes,0.4662004662004662,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,64
5.128205128205128,86,Low,Medium,Yes,49,72,Low,Yes,0.6993006993006993,Low,High,Public,Positive,2,No,High School,Moderate,Male,68
2.097902097902098,77,Medium,Medium,No,35,57,Medium,Yes,0.4662004662004662,Medium,High,Public,Neutral,3,No,High School,Near,Male,63
5.128205128205128,71,Low,Medium,Yes,49,65,Low,Yes,0.2331002331002331,Medium,Low,Public,Positive,4,No,College,Moderate,Male,64
4.195804195804196,68,High,Medium,No,49,72,Medium,Yes,0.0,Medium,Medium,Public,Neutral,3,No,College,Near,Male,64
3.7296037296037294,86,Low,Medium,Yes,56,63,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Positive,4,No,High School,Near,Male,67
5.594405594405594,77,High,Low,No,56,96,Medium,Yes,0.0,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,67
6.0606060606060606,67,Medium,High,Yes,49,51,Low,Yes,0.4662004662004662,High,High,Private,Neutral,4,Yes,Postgraduate,Far,Female,66
6.0606060606060606,88,Medium,High,Yes,35,79,Medium,Yes,0.2331002331002331,Low,High,Private,Positive,4,No,College,Moderate,Male,72
3.4965034965034967,83,Medium,High,No,35,89,Low,No,0.2331002331002331,Medium,High,Public,Neutral,2,Yes,High School,Near,Female,65
4.195804195804196,94,Medium,Medium,Yes,42,87,High,Yes,0.2331002331002331,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71
5.128205128205128,65,High,Low,No,56,82,Medium,Yes,0.4662004662004662,Medium,High,Public,Positive,1,No,Postgraduate,Near,Female,66
6.0606060606060606,91,Medium,Low,Yes,56,71,Medium,Yes,0.0,Low,Medium,Private,Neutral,3,No,High School,Moderate,Male,68
3.9627039627039626,87,Medium,Medium,No,49,96,Medium,Yes,0.2331002331002331,High,Medium,Public,Negative,5,No,Postgraduate,Near,Female,70
4.428904428904429,65,Medium,Medium,Yes,70,66,Low,Yes,0.0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,62
3.0303030303030303,88,Low,High,Yes,63,88,High,Yes,0.4662004662004662,Low,High,Private,Negative,4,No,Postgraduate,Far,Male,68
3.0303030303030303,78,Medium,High,Yes,63,96,High,Yes,0.4662004662004662,Low,Medium,Public,Neutral,3,No,College,Moderate,Male,67
5.827505827505828,98,Low,High,Yes,56,56,Medium,No,0.0,Medium,High,Private,Neutral,3,No,Postgraduate,Near,Male,71
6.526806526806527,66,Medium,High,Yes,56,97,Medium,Yes,0.0,Medium,Medium,Public,Neutral,2,No,High School,Near,Male,68
4.662004662004662,86,Medium,Medium,Yes,56,89,Medium,Yes,0.2331002331002331,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,69
6.0606060606060606,75,Low,High,Yes,28,81,High,Yes,0.6993006993006993,Medium,High,Private,Positive,2,No,High School,Moderate,Male,70
5.128205128205128,98,Medium,High,No,35,69,Low,No,0.2331002331002331,Low,High,Public,Negative,4,No,High School,Moderate,Female,69
3.7296037296037294,73,Medium,Medium,No,49,95,Medium,Yes,0.2331002331002331,Low,Medium,Public,Negative,4,No,College,Near,Male,65
5.128205128205128,98,Medium,Low,Yes,49,52,Medium,No,0.6993006993006993,Medium,Medium,Public,Positive,3,No,College,Near,Female,70
6.75990675990676,96,Medium,Low,Yes,49,72,Medium,Yes,0.2331002331002331,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,71
4.662004662004662,71,Medium,Medium,Yes,49,88,Medium,Yes,0.2331002331002331,Low,Low,Public,Neutral,4,No,College,Near,Female,65
6.75990675990676,92,Low,Medium,No,28,91,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Negative,1,No,Postgraduate,Near,Female,72
0.9324009324009324,100,High,High,Yes,56,60,High,Yes,0.0,Medium,High,Private,Positive,4,No,College,Moderate,Male,69
5.827505827505828,70,Medium,Medium,No,49,52,Medium,Yes,0.2331002331002331,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,66
4.895104895104895,77,Low,Medium,Yes,49,90,Medium,Yes,0.9324009324009324,Medium,Medium,Private,Neutral,3,No,Postgraduate,Moderate,Male,68
4.195804195804196,81,High,Low,Yes,56,71,Medium,Yes,0.0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,65
4.895104895104895,72,Medium,Medium,Yes,35,57,Medium,Yes,0.2331002331002331,High,Medium,Public,Neutral,5,Yes,College,Moderate,Male,64
1.8648018648018647,61,Medium,Medium,Yes,49,54,Medium,Yes,0.2331002331002331,High,Medium,Public,Positive,3,No,College,Near,Male,60
4.428904428904429,69,Medium,High,Yes,49,82,High,Yes,0.2331002331002331,Low,Medium,Public,Negative,2,No,High School,Near,Male,65
5.128205128205128,71,High,Medium,No,42,79,High,Yes,0.2331002331002331,Low,Low,Public,Positive,3,No,High School,Near,Male,66
6.75990675990676,78,High,High,Yes,28,93,Low,Yes,1.1655011655011656,Medium,High,Public,Neutral,3,No,College,Near,Male,74
3.9627039627039626,67,Medium,Medium,Yes,35,52,High,Yes,0.4662004662004662,Medium,Medium,Private,Negative,3,No,High School,Far,Female,62
3.4965034965034967,95,Medium,Medium,No,49,93,Medium,Yes,0.4662004662004662,Low,Medium,Public,Positive,4,No,College,Moderate,Male,70
3.9627039627039626,88,Medium,High,Yes,49,94,Low,Yes,0.0,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,69
5.827505827505828,63,Medium,High,Yes,49,72,Medium,Yes,0.6993006993006993,Medium,High,Private,Negative,4,No,College,Far,Male,67
5.128205128205128,86,Low,Low,No,42,54,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Neutral,0,No,High School,Moderate,Male,64
3.9627039627039626,86,Medium,High,No,35,97,High,Yes,0.6993006993006993,High,Medium,Public,Neutral,3,No,College,Near,Male,71
5.361305361305361,98,Medium,Low,Yes,49,54,Low,Yes,0.0,Medium,Medium,Public,Negative,3,No,College,Near,Female,68
4.895104895104895,60,High,Medium,No,49,80,Medium,Yes,0.0,Medium,High,Public,Neutral,4,Yes,College,Near,Male,64
6.0606060606060606,70,Medium,Low,Yes,56,75,Medium,Yes,0.2331002331002331,Medium,Low,Private,Neutral,4,Yes,High School,Far,Female,63
3.7296037296037294,97,Medium,Medium,Yes,42,92,Low,Yes,0.0,High,Medium,Private,Positive,4,No,College,Near,Male,71
4.195804195804196,97,High,Medium,Yes,28,75,Low,Yes,0.0,Low,Medium,Public,Positive,3,No,High School,Moderate,Male,69
4.195804195804196,89,High,Medium,Yes,28,73,Medium,Yes,0.6993006993006993,High,Medium,Private,Positive,2,No,College,Near,Female,100
2.564102564102564,91,Medium,Medium,No,42,94,Medium,Yes,0.6993006993006993,Medium,Medium,Public,Neutral,3,No,College,Moderate,Male,68
5.128205128205128,64,Low,Medium,No,49,98,Low,No,0.2331002331002331,Medium,Medium,Public,Negative,3,No,High School,Near,Male,62
5.128205128205128,81,Medium,Medium,Yes,49,77,Low,Yes,0.4662004662004662,Medium,Medium,Public,Positive,3,No,Postgraduate,Far,Female,68
4.662004662004662,69,High,High,Yes,42,73,Medium,Yes,0.4662004662004662,Low,Medium,Private,Positive,3,No,High School,Far,Male,66
4.428904428904429,67,Low,Medium,No,35,92,High,Yes,0.0,Medium,Medium,Public,Positive,3,No,College,Near,Male,64
2.797202797202797,92,Medium,Medium,No,28,92,High,Yes,0.4662004662004662,Medium,High,Public,Neutral,3,Yes,High School,Moderate,Male,67
3.9627039627039626,65,Medium,High,Yes,56,66,Medium,Yes,0.2331002331002331,High,High,Public,Neutral,4,Yes,Postgraduate,Moderate,Female,65
4.195804195804196,79,Medium,Medium,Yes,49,79,Medium,Yes,0.0,Low,High,Private,Neutral,3,No,College,Far,Male,65
3.4965034965034967,98,High,Medium,No,42,58,High,Yes,0.0,Low,High,Public,Positive,3,No,College,Near,Male,69
4.428904428904429,67,Medium,Medium,No,35,82,High,Yes,0.2331002331002331,Low,Low,Private,Negative,3,No,High School,Near,Male,63
5.128205128205128,99,Medium,Low,Yes,42,92,Low,Yes,0.6993006993006993,Medium,Medium,Public,Negative,4,No,Postgraduate,Moderate,Male,72
7.226107226107226,100,Medium,Medium,No,49,59,Medium,Yes,0.4662004662004662,High,High,Public,Positive,5,No,Postgraduate,Moderate,Male,76
4.895104895104895,82,Medium,High,Yes,49,66,High,Yes,0.6993006993006993,Low,Medium,Public,Positive,3,Yes,College,Near,Female,69
5.128205128205128,67,Medium,Medium,Yes,49,72,High,Yes,0.6993006993006993,Low,High,Public,Positive,2,No,Postgraduate,Moderate,Female,67
4.662004662004662,73,High,Medium,Yes,63,92,Medium,Yes,0.4662004662004662,Medium,High,Public,Positive,3,No,College,Near,Male,69
1.8648018648018647,77,High,Medium,Yes,42,87,Medium,Yes,0.0,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,63
4.662004662004662,72,Medium,Medium,No,63,66,Medium,Yes,0.6993006993006993,Low,High,Private,Positive,3,No,Postgraduate,Near,Male,67
4.662004662004662,71,Low,High,Yes,49,62,High,Yes,0.4662004662004662,Medium,Medium,Public,Negative,5,No,College,Near,Male,66
8.158508158508159,99,High,High,Yes,49,85,Low,Yes,0.4662004662004662,Medium,High,Private,Neutral,2,No,Postgraduate,Near,Female,79
4.428904428904429,66,Medium,Medium,No,56,74,Medium,Yes,0.2331002331002331,High,Medium,Public,Neutral,3,No,High School,Near,Female,64
5.128205128205128,89,High,High,Yes,42,80,Medium,Yes,0.2331002331002331,High,High,Public,Positive,3,No,High School,Near,Female,73
4.662004662004662,60,Low,High,No,49,82,High,Yes,0.4662004662004662,Low,High,Public,Positive,4,Yes,High School,Near,Male,63
3.0303030303030303,84,Medium,Medium,No,35,78,Medium,Yes,0.2331002331002331,Low,High,Public,Positive,2,No,High School,Near,Male,65
6.293706293706293,97,Low,High,Yes,56,81,Medium,Yes,0.0,High,Medium,Public,Positive,5,No,High School,Near,Female,73
5.827505827505828,72,High,High,Yes,56,94,Low,Yes,0.4662004662004662,Low,Medium,Private,Positive,4,No,College,Moderate,Female,70
5.827505827505828,67,High,Medium,No,63,93,High,Yes,0.4662004662004662,Low,High,Public,Positive,3,Yes,High School,Near,Female,68
3.4965034965034967,86,Medium,Medium,Yes,49,57,Medium,Yes,0.2331002331002331,Medium,Medium,Public,Negative,3,No,College,Near,Male,65
6.526806526806527,89,Low,High,Yes,63,79,High,Yes,0.0,Low,Medium,Private,Positive,1,No,College,Moderate,Female,71
2.797202797202797,88,Low,Medium,No,42,72,Low,Yes,0.4662004662004662,Medium,Medium,Public,Positive,2,No,College,Far,Male,64
5.594405594405594,73,Medium,High,Yes,56,64,Medium,Yes,0.9324009324009324,High,Medium,Private,Neutral,3,Yes,College,Moderate,Male,68
7.6923076923076925,70,Medium,Medium,Yes,42,82,Low,Yes,0.2331002331002331,Low,High,Public,Neutral,4,No,College,Near,Male,69
3.2634032634032635,98,Medium,Medium,No,49,76,Medium,Yes,0.0,Medium,High,Private,Positive,4,No,College,Moderate,Female,69
3.9627039627039626,97,Medium,Medium,No,56,89,Medium,Yes,0.2331002331002331,Low,Medium,Public,Neutral,4,No,High School,Far,Male,69
4.895104895104895,78,Medium,Medium,Yes,70,55,Medium,Yes,0.2331002331002331,High,Low,Private,Positive,2,No,College,Near,Male,67
3.9627039627039626,94,Low,Medium,Yes,56,65,Low,Yes,0.9324009324009324,Medium,Medium,Public,Neutral,6,No,High School,Far,Female,68
2.564102564102564,78,Medium,High,Yes,56,51,Medium,Yes,0.4662004662004662,Low,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,64
4.662004662004662,77,Medium,Medium,No,42,87,Low,Yes,0.0,Low,High,Public,Positive,4,No,High School,Near,Female,66
3.2634032634032635,66,High,Low,No,49,96,Medium,Yes,0.6993006993006993,Low,High,Public,Negative,3,No,High School,Near,Male,63
5.361305361305361,77,Medium,Medium,Yes,49,79,Medium,Yes,0.0,Low,High,Public,Neutral,2,No,High School,Moderate,Male,66
3.2634032634032635,81,Medium,Medium,No,63,81,Medium,Yes,0.2331002331002331,Low,High,Private,Negative,3,No,Postgraduate,Near,Female,66
6.75990675990676,61,Medium,High,Yes,49,52,Low,Yes,0.6993006993006993,Low,Medium,Private,Positive,3,No,College,Near,Female,67
3.4965034965034967,78,High,High,No,63,75,Low,Yes,0.2331002331002331,Low,Medium,Public,Negative,1,No,High School,Near,Male,65
4.195804195804196,91,Low,Medium,Yes,35,76,Medium,Yes,0.2331002331002331,Medium,Medium,Public,Neutral,3,No,High School,Near,Female,68
5.827505827505828,87,Medium,Low,No,63,52,High,Yes,0.2331002331002331,Low,High,Private,Positive,2,No,High School,Near,Male,68
3.0303030303030303,85,High,Medium,No,42,89,Medium,Yes,0.0,High,Medium,Private,Neutral,1,Yes,High School,Near,Male,65
4.895104895104895,96,Medium,Medium,No,56,64,High,Yes,0.4662004662004662,Medium,High,Public,Neutral,0,No,College,Near,Male,71
6.526806526806527,61,Medium,High,No,42,86,High,Yes,0.2331002331002331,Low,Medium,Private,Negative,3,Yes,Postgraduate,Far,Male,65
2.331002331002331,82,Medium,Low,No,56,70,Medium,Yes,0.6993006993006993,Low,High,Public,Positive,1,Yes,Postgraduate,Near,Female,64
4.895104895104895,91,High,Medium,No,42,100,Medium,Yes,0.0,High,Medium,Private,Neutral,2,No,Postgraduate,Near,Female,72
5.128205128205128,82,Medium,Medium,No,63,61,Medium,Yes,0.4662004662004662,Low,Medium,Public,Negative,2,Yes,High School,Near,Female,65
5.827505827505828,73,Medium,High,No,56,53,High,No,0.0,Low,High,Private,Negative,5,No,Postgraduate,Near,Female,66
3.0303030303030303,65,Low,High,No,42,99,Medium,Yes,0.0,Low,Medium,Private,Negative,4,No,High School,Near,Male,61
2.797202797202797,96,Low,High,Yes,56,62,Medium,Yes,0.4662004662004662,Medium,High,Public,Negative,3,No,College,Near,Female,68
5.361305361305361,79,High,High,Yes,56,82,Low,Yes,0.6993006993006993,Medium,Medium,Public,Negative,3,Yes,Postgraduate,Moderate,Female,69
5.128205128205128,95,Medium,High,Yes,42,69,Medium,Yes,0.2331002331002331,Low,Medium,Public,Positive,3,No,College,Near,Female,72
5.128205128205128,83,Medium,High,Yes,35,82,Medium,Yes,0.4662004662004662,Low,High,Public,Positive,3,No,Postgraduate,Near,Female,71
5.128205128205128,87,High,High,No,35,80,Low,Yes,0.4662004662004662,Low,High,Public,Negative,3,No,High School,Near,Female,70
3.7296037296037294,92,Medium,High,Yes,35,85,Low,Yes,0.2331002331002331,Low,Medium,Public,Neutral,2,No,High School,Moderate,Male,68
4.895104895104895,86,Low,Medium,Yes,35,51,Medium,Yes,0.4662004662004662,Low,High,Public,Positive,2,No,High School,Moderate,Female,67
5.128205128205128,76,Medium,Medium,Yes,56,92,Medium,Yes,0.2331002331002331,Low,High,Public,Neutral,4,No,High School,Near,Female,68
3.7296037296037294,81,Medium,Medium,Yes,56,74,Medium,Yes,0.6993006993006993,Medium,Medium,Public,Positive,2,No,Postgraduate,Near,Female,68
7.226107226107226,92,Medium,Medium,Yes,28,76,Medium,Yes,0.4662004662004662,Medium,High,Public,Positive,4,Yes,High School,Far,Male,72
5.361305361305361,75,Low,High,No,42,71,Low,Yes,0.0,Medium,Medium,Public,Neutral,2,No,College,Near,Male,65
3.0303030303030303,76,Medium,High,No,35,99,Low,Yes,0.4662004662004662,Medium,Medium,Private,Positive,4,No,High School,Near,Female,66
5.594405594405594,64,Medium,Medium,Yes,56,90,High,Yes,0.0,Low,High,Public,Negative,3,No,High School,Near,Male,65
3.2634032634032635,97,Medium,Medium,Yes,42,66,Medium,Yes,0.4662004662004662,Medium,Medium,Public,Negative,3,Yes,College,Near,Female,67
5.827505827505828,64,Medium,High,No,35,89,Low,Yes,0.4662004662004662,Medium,Medium,Public,Neutral,4,No,College,Far,Male,66
6.293706293706293,86,Medium,Medium,No,49,72,Low,Yes,0.2331002331002331,Medium,High,Public,Positive,4,No,High School,Far,Male,69
3.4965034965034967,77,Medium,Medium,Yes,56,94,Low,Yes,0.0,High,High,Public,Positive,3,No,College,Moderate,Male,66
6.0606060606060606,76,Medium,High,Yes,42,52,Medium,Yes,0.9324009324009324,High,Low,Public,Neutral,3,No,High School,Near,Male,69
5.128205128205128,87,High,Low,Yes,49,68,Medium,No,0.0,Low,Medium,Public,Neutral,2,No,High School,Near,Male,67
5.827505827505828,63,High,Medium,Yes,42,71,Medium,Yes,0.2331002331002331,Medium,Low,Private,Positive,3,No,High School,Near,Male,66
7.226107226107226,84,Medium,Medium,Yes,63,87,Medium,Yes,0.4662004662004662,Low,Medium,Private,Neutral,3,No,College,Far,Male,71
4.428904428904429,91,High,Low,No,42,59,Medium,Yes,1.1655011655011656,Medium,High,Public,Neutral,4,No,College,Moderate,Male,70
3.4965034965034967,93,High,Medium,No,42,64,Medium,Yes,0.4662004662004662,Medium,High,Public,Positive,4,No,Postgraduate,Near,Male,71
3.4965034965034967,67,Medium,Medium,Yes,49,86,High,Yes,0.2331002331002331,High,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66
3.4965034965034967,96,Medium,Medium,No,49,54,High,No,0.6993006993006993,Medium,High,Public,Negative,2,No,High School,Near,Male,67
4.662004662004662,86,High,Low,No,56,60,Medium,Yes,0.2331002331002331,Medium,Medium,Public,Neutral,4,Yes,College,Far,Female,66
5.128205128205128,95,Medium,High,No,63,88,Low,Yes,0.0,Low,High,Public,Positive,2,No,Postgraduate,Near,Male,72
5.128205128205128,79,Medium,Medium,No,63,94,Medium,Yes,0.2331002331002331,Medium,Medium,Public,Positive,3,No,High School,Near,Male,68
5.827505827505828,82,Medium,Medium,No,42,86,Medium,No,0.6993006993006993,Low,High,Public,Positive,3,No,High School,Near,Female,69
4.662004662004662,97,Medium,Medium,Yes,49,76,Low,Yes,0.4662004662004662,Low,Low,Private,Positive,3,No,Postgraduate,Near,Male,71
6.75990675990676,96,Medium,Medium,Yes,63,55,Low,No,0.0,Medium,Medium,Public,Neutral,2,No,Postgraduate,Far,Female,70
4.195804195804196,78,Medium,Medium,No,63,91,High,Yes,0.4662004662004662,High,Low,Public,Neutral,4,No,College,Far,Female,67
8.391608391608392,71,Medium,Medium,Yes,42,56,Medium,Yes,0.4662004662004662,High,Medium,Public,Positive,2,No,High School,Far,Male,69
5.594405594405594,76,Low,High,No,56,69,Low,Yes,0.4662004662004662,Medium,Medium,Public,Neutral,1,No,High School,Moderate,Male,65
3.4965034965034967,76,High,High,No,56,53,Medium,Yes,0.2331002331002331,Low,Medium,Public,Neutral,4,No,College,Near,Male,65
3.2634032634032635,71,Medium,Medium,Yes,56,85,Low,Yes,0.4662004662004662,Medium,High,Public,Neutral,4,No,High School,Near,Male,64
5.361305361305361,71,Low,Low,Yes,63,75,Low,Yes,0.2331002331002331,Low,Medium,Public,Negative,2,No,College,Near,Male,63
4.428904428904429,94,Low,Medium,Yes,35,95,Medium,Yes,0.6993006993006993,Low,Low,Public,Positive,2,No,High School,Moderate,Male,69
5.594405594405594,63,Medium,Low,Yes,42,57,Medium,Yes,0.2331002331002331,Low,High,Private,Neutral,5,No,College,Near,Female,64
5.361305361305361,87,High,High,Yes,56,91,High,Yes,0.0,High,Medium,Private,Positive,3,No,High School,Moderate,Male,72
4.662004662004662,67,Low,Medium,Yes,49,76,Medium,Yes,0.0,Medium,Medium,Public,Neutral,4,No,High School,Near,Male,63
3.4965034965034967,74,Low,High,Yes,28,68,Low,Yes,0.6993006993006993,Low,Medium,Public,Positive,3,No,High School,Near,Female,64
2.564102564102564,62,Medium,High,Yes,35,82,Medium,Yes,0.6993006993006993,High,Medium,Private,Neutral,4,No,College,Moderate,Male,64
3.9627039627039626,71,Medium,Medium,Yes,56,90,Medium,Yes,1.1655011655011656,Medium,Medium,Public,Positive,1,No,Postgraduate,Far,Male,67
5.827505827505828,91,Medium,Medium,No,56,72,Low,Yes,0.4662004662004662,Medium,High,Public,Positive,0,No,Postgraduate,Near,Male,71
4.895104895104895,95,Medium,Medium,No,35,62,High,Yes,0.2331002331002331,Medium,Low,Public,Positive,4,No,High School,Near,Male,70
3.0303030303030303,69,Medium,Low,Yes,63,96,Low,Yes,0.0,High,Medium,Private,Neutral,4,No,High School,Far,Female,61
4.895104895104895,79,Medium,High,Yes,49,66,Low,Yes,0.4662004662004662,Low,Medium,Public,Negative,4,No,College,Moderate,Male,67
5.128205128205128,79,High,Medium,No,35,100,Medium,Yes,0.9324009324009324,High,High,Public,Negative,3,No,College,Near,Male,72
3.4965034965034967,95,Low,Low,Yes,42,88,Low,Yes,0.2331002331002331,Low,Medium,Public,Negative,5,No,High School,Near,Male,66
